ENTIDAD,MUN,LOC,AGEB,MZA,NOM_LOC,GRAPROES,PEA,POCUPADA,P15YM_SE,VPH_C_SERV,VPH_SNBIEN,P_18A24,P_60YMAS,REL_H_M,POBTOT,TOTHOG,POBHOG,VIVPAR_HAB,VPH_NDACMM,VPH_AUTOM,VPH_MOTO,VPH_BICI,ClaveGeo
14,039,0001,0026,001,Guadalajara,15.28,54.0,52.0,0.0,26.0,0.0,13.0,23.0,91.84,94.0,26.0,94.0,25.0,0.0,26.0,,9.0,1403900010026001
14,039,0001,0026,002,Guadalajara,14.88,421.0,415.0,,252.0,0.0,111.0,162.0,75.44,700.0,252.0,643.0,213.0,12.0,240.0,24.0,54.0,1403900010026002
14,039,0001,0026,003,Guadalajara,14.77,63.0,62.0,,41.0,0.0,24.0,23.0,79.37,113.0,42.0,113.0,41.0,,38.0,,11.0,1403900010026003
14,039,0001,0026,004,Guadalajara,15.55,71.0,70.0,0.0,44.0,0.0,9.0,31.0,89.66,110.0,44.0,110.0,37.0,,43.0,4.0,9.0,1403900010026004
14,039,0001,0026,005,Guadalajara,14.53,22.0,22.0,0.0,10.0,0.0,5.0,8.0,112.5,34.0,11.0,34.0,11.0,0.0,10.0,4.0,,1403900010026005
14,039,0001,0026,006,Guadalajara,14.36,65.0,64.0,,34.0,0.0,14.0,49.0,80.65,112.0,34.0,112.0,34.0,0.0,34.0,,9.0,1403900010026006
14,039,0001,0026,007,Guadalajara,13.87,59.0,58.0,0.0,35.0,0.0,7.0,21.0,87.72,107.0,35.0,107.0,35.0,,33.0,3.0,5.0,1403900010026007
14,039,0001,0026,010,Guadalajara,14.69,71.0,71.0,0.0,39.0,0.0,17.0,6.0,63.89,118.0,39.0,118.0,36.0,3.0,36.0,3.0,9.0,1403900010026010
14,039,0001,0026,011,Guadalajara,12.9,6.0,6.0,0.0,3.0,0.0,,0.0,100.0,12.0,3.0,12.0,3.0,0.0,3.0,0.0,,1403900010026011
14,039,0001,0026,012,Guadalajara,15.52,13.0,13.0,0.0,7.0,0.0,,6.0,83.33,22.0,7.0,22.0,7.0,0.0,7.0,,4.0,1403900010026012
14,039,0001,0026,013,Guadalajara,12.82,8.0,8.0,0.0,3.0,0.0,3.0,,120.0,11.0,3.0,11.0,3.0,,,0.0,,1403900010026013
